type,type_area,eoo_km2,nat1990,nat2018,nat2022,prpnat1990,prpnat2018,prpnat2022,ard9022,nat40_9022,prplost9040_9022,ard1822,nat40_1822,prplost9040_1822,ard9018,nat40_9018,prplost9040_9018,rod9022,rod1822,rod9018,A3_24,A2b_24,B1ai_24,A3_18,A2b_18,B1ai_18
Albany Thicket_Depression,24915600,338259.8694816198,18120800,17181600,17052400,0.7272873219990689,0.6895920628040264,0.6844065565348617,33387.5,16451425,0.092124795814754315,32300,15566600,0.14095404176416051,33542.857142857145,16443657.142857142,0.09255346657668857,0.18424959162950863,0.28190808352832103,0.18510693315337715,LC,LC,LC,LC,LC,LC
Albany Thicket_Floodplain,28880400,51423.98752500531,20408800,17678400,17530400,0.7066661126577194,0.6121244858104459,0.6069999030484342,89950,15911300,0.2203706244365176,37000,15828400,0.22443259770295168,97514.28571428571,15533085.714285715,0.2389025462405573,0.4407412488730352,0.44886519540590336,0.4778050924811146,LC,LC,LC,LC,LC,LC
Albany Thicket_Seep,5137600,76839.00041013595,4067600,3756000,3723200,0.7917315478044223,0.7310806602304578,0.7246963562753036,10762.5,3529475,0.13229545678041105,8200,3346000,0.17740190775887502,11128.57142857143,3511171.4285714286,0.1367953022491325,0.2645909135608221,0.35480381551775003,0.273590604498265,LC,LC,LC,LC,LC,LC
Albany Thicket_Unchannelled valley-bottom,4383200,7860.958680060174,2186800,1953600,1946400,0.4989049096550465,0.4457017703960577,0.44405913487862747,7512.5,1811175,0.17176925187488568,1800,1863600,0.14779586610572526,8328.57142857143,1770371.4285714286,0.19042828398965217,0.34353850374977135,0.2955917322114505,0.38085656797930434,VU,LC,LC,VU,LC,EN
Bushmanland_Depression,3270560800,149852.3872646617,3221562400,3209965200,3207307200,0.9850183491467274,0.9814724129268595,0.9806597082677686,445475,3199288650,0.006913958891499355,664500,3176740200,0.013913186967913457,414185.71428571426,3200853114.285714,0.0064283360503232375,0.013827917782998708,0.027826373935826917,0.012856672100646475,LC,LC,LC,LC,LC,LC
Bushmanland_Floodplain,201226800,88930.07603925484,194210800,193090800,192248000,0.9651338688484834,0.9595680098277168,0.9553797009145899,61337.5,191143925,0.015791475036403744,210700,182555800,0.06001211055203933,40000,192210800,0.010298088468818418,0.03158295007280749,0.12002422110407866,0.020596176937636837,LC,LC,LC,LC,LC,LC
Bushmanland_Seep,16784000,51938.6381813648,16751600,16720400,16718800,0.998069590085796,0.996210676835081,0.996115347950429,1025,16700350,0.0030594092504596577,400,16700400,0.003056424460947014,1114.2857142857142,16695885.714285715,0.003325908314088532,0.006118818500919315,0.006112848921894028,0.006651816628177064,LC,LC,LC,LC,LC,LC
Bushmanland_Unchannelled valley-bottom,707236400,14806.891026686866,684238000,682400800,681989600,0.9674813117650619,0.9648835947923495,0.964302176754477,70262.5,680724875,0.00513436114334486,102800,677260800,0.010197036703603132,65614.28571428571,680957285.7142857,0.0047946975843409295,0.01026872228668972,0.020394073407206264,0.009589395168681859,LC,LC,LC,LC,LC,LC
Central Bushveld_Depression,52908400,153118.5042578819,43488400,41768800,41000800,0.8219564379191205,0.7894549825736557,0.7749393291046413,77737.5,39601525,0.08937728221778682,192000,32168800,0.26029010034859873,61414.28571428572,40417685.71428572,0.07060996232821358,0.17875456443557364,0.5205802006971975,0.14121992465642716,LC,LC,LC,LC,LC,LC
Central Bushveld_Floodplain,1613161600,165517.08571235358,1169816000,1077840800,1034052800,0.7251697536068302,0.6681542630322963,0.6410100513178593,4242600,957686000,0.18133621013903042,10947000,530490800,0.5465177429612862,3284828.5714285714,1005574571.4285715,0.1403993692780989,0.36267242027806085,1.0930354859225724,0.2807987385561978,LC,EN,LC,LC,LC,LC
